[XP-T-006#P001] 第一课：职场沟通的本质
[XP-T-006#P054] 第六课我们会面对一个比较常见的、也是大家惧怕沟通的场景，就是不知道该如何面对别人对你的拒绝。这一课是非常核心的一课，我们会讲一个模型，叫价值需求层次的模型，在这个模型当中我们会告诉大家，面对拒绝的时候应该用什么样的方式去进行沟通。首先我们来看第一个部分：如果你跟别人沟通，把你的需求摆出来了，你也能满足他一定的需求，但是你仍然面对的是一个拒绝的答案——有可能他认为你们的诉求还是互相冲突的，或者你们之间交换利益的价码他不满意——遇到这种情况，我们应该如何面对拒绝？我觉得首先第一点还是要在自己身上找问题。为什么要强调在自己身上找问题？因为如果你把问题归于在别人身上，你想说服他改变，实际你增加了工作难度：你要说服他去改变这件事情本身又是一个你的新的需求。原本那个需求没达到，然后你还要说服他，又变成了一个全新的需求，这个就非常难解。我们能自控的是什么？我们能自控的是我们自己，重新按照职场沟通的原则去解释一下我们自己是不是足够做到位了。哪三个原则？复习一下：第一，坦诚：我要什么是不是想得非常清楚？我最要什么是不是已经做好了排序、做好了底线和让步的策略上的安排？以及我是不是真的要这个东西，不要去徒增烦恼。这些都安排好了以后，我是不是足够释放了善意？这是坦诚的第一步。第二，利他：我是不是抓住了他的需求，符合SMART原则，是不是他真正的需求？我是不是把他的信息拿得足够多，并且在跟他多次沟通的过程当中把信息完成解码、翻译成了他的需求？第三，清晰：我跟他的沟通过程当中是不是足够清晰——讲的都是数字、动作、日期；而且在沟通之前，我先把我要说的一句话能够列出来，我希望我能帮助他的也一句话能列出来，发给了他、约好了时间来充分地谈；并且在谈之前我做了足够的策划。如果坦诚、利他、清晰我们没有达标，我们应该在自己身上找原因；如果都做得不错了，这个时候我们应该看一看有没有什么方式能去改变他对这个问题的看法。另外，很多时候我们在谈的过程当中可以利用暂停、搁置作为一个策略，重新进行复盘和组织，再开启下一轮的沟通；但有些时候在现场你就得再去做一些应变。在面对拒绝的时候你的应变应该怎么样？或者说你回来以后调整策略，应该用什么方法去安排你的下一次沟通策略？我们今天就来讲一讲关于拒绝的话题。
[XP-T-006#P055] 拒绝，我们首先对它进行分类：到底是他的情绪需求没有被满足，还是他的价值需求没有被满足？先做这个分类。情绪需求没有被满足，表现出来的特征是有情绪的拒绝：比如他很烦，表现出烦躁、愤怒、冷漠、鄙视、嘲笑，各种各样的情绪你是能观察到的，那么这种情况叫做有情绪的拒绝。怎么应对有情绪的拒绝？首先还是回到沟通三原则：我们是不是足够坦诚？想他的需求的时候是不是足够利他？安排沟通策略的时候是不是足够有格局——让他先赢，只要我不输就可以干？如果这些都没有问题，第七课我们会讲沟通过程当中情绪的管理以及情绪的应对，在此就先按下不表。这一课我们核心要去处理的叫做价值需求没有被满足。价值需求没有被满足，它表现出来的特征叫做没情绪的拒绝：通常情况下他也跟你推心置腹，说这个事儿我们办不了、做起来非常困难、有各种各样外在的因素导致我们无法推进。当然我们可以采用搁置的方式等待外部时机成熟了再谈，但是同样我们也可以现场或者随后再去策划下一次的沟通，用另外的切角去解决问题。一般来说有两种方法。
[XP-T-006#P056] 第一种方法叫做深挖改变其主观看法的切角。主观看法往往给你列出来的是很多的客观因素："这件事儿做不了。老板，我要提涨薪。""哎呀，公司现在经营也不是那么好。"——客观因素。不是他不想涨，是客观因素让他不涨，而且讲得非常没有情绪、推心置腹、很诚恳。遇到这种情况我们肯定不要先给他归类说"这个人就是坏"，我们自己上情绪（就不对了），我们要深挖一件事情：到底是什么让他形成了一个主观的看法——"公司经营现在有一些问题，因此我们没有办法给员工涨薪"——把这个主观看法给它拧过来：即便是公司现在经营有一些困难，但很有可能还能达到你涨薪的诉求。所以要改变的是他的主观看法，而不是去调整客观的因素，因为客观的因素是需要主观来解读的。比如这门课我就是这么讲，1000个学生听，肯定有一些人说讲得不好，肯定还会有人说讲得好。这是这个课的问题吗？不是，是客观因素——它就是一个课，但是每一个人他主观的看法不一样。因此，我们要让他去改变他的决定、让这件事情能推进，我们要改变的是他的主观看法，而不是客观的因素。这是第一个角度。第二个角度：结果的改变动力在原因。大家千万不要倒因为果，也不要倒果为因。注意这个"果"最大的一个特点叫做不可改——他会经常说"这是既成事实的了，不可改"。果是不可改，但是因是可改的。如果我们一直纠结在果这件事情上，谈判也好、沟通也好，就陷入了僵局；但是如果我们去考虑因，这件事情是有可改的空间的：过去不可改，但是未来有机会；我们以前不行，不代表我们未来不行。所以在这里抓住"因变成可改的、未来可改的"，很有可能就能转换他对于这个问题的主观看法和立场，从而满足他的价值需求。
[XP-T-006#P057] 基于这样的一个策略，我们来看价值需求的这个（模型）。大家可能在网上，尤其现在抖音有个关教练讲得非常好，他其实就在用这样的一套模型，主要用在跟团队的教练技术上面，比如你带团队、跟员工该怎么谈话。他给出了这样的一个模式：客观情况、客观环境是你的行为所决定的，就是你做什么导致了现在这个结果——注意抓因果。那你做出这个行为是什么决定的？是你的能力决定的。那你的能力是什么决定的？是你对这件事情的价值观、信念所决定的：你有什么样的信念，你就会有什么样的能力；有什么样的能力，你就会做出什么样的行为；有什么样的行为，就会有什么样的结果。然后再不断地找：什么样的因素让你有这样的一个信念呢？是你的身份、你的位置。你是老板，你就有老板的一套观念；你是员工，你就有员工的一套观念，屁股决定脑袋。那什么又决定了身份呢？是这个人的底层的系统认知：他读了什么书、经历了什么事情、谁曾经帮助过他，形成了一套他对这个世界的底层的系统认知。过去的经历决定了他现在的身份，现在的身份决定了他的观念，观念决定了他什么方面有这个能力，这个能力决定了他的行为，这个行为产生了最终的结果，最终形成了客观环境。这是这一套关于价值需求层次的因果关系。我们仔细来看这套价值因果关系：最上层的认知系统，是一个非常主观的东西——我们看待事实，虽然它就是个事实，但每个人的经历不同、观点不同，对这件事情的解读就不一样。再看最底层的结果，它是一个非常客观的结果，比如现在公司经营状况不好，这就是个结果，而且它很客观。但大家有没有发现一点？恰好是这种结果的绝对客观性，在短期限制了我们的主观认知。就像我刚才讲，我想让老板给我加工资，但老板说现在公司的经营的确遇到了一些困难，暂时没有办法帮你加。现实当中的客观结果影响了老板的一套认知系统，这套认知系统就是"我经营困难的时候不能给员工加工资，至少暂时不能加"，它限制了主观认知，而且产生的效能是短期的。但同样我们也要注意，刚才给大家讲的所有的东西都是要向下决定的：我如果要改变客观情况，首先最高位应该改变的是这个人的主观认知——也就是说"在公司经营困难的情况下，其实我还是可以给员工加薪的"，这个主观认知他如果发生变化，会决定他的身份、决定他的价值观、决定他的能力、决定他的行为，然后最终给你涨薪。但是他的主观认知要发生一个变化，这个变化我们需要通过沟通让他习惯、形成这个变化，并且拿到足够的时间去长期塑造新的客观结果，这是这套模型。
[XP-T-006#P058] 我们来看一看怎么去用。采用的方法是：对方在说所有的观点的时候，我们要首先表达认同，不要否定他的观点。老板说："公司现在的情况不好，所以我没办法给你涨薪。""老板你说的这个对，我完全能理解。"为什么？因为他是站在他的视野的角度做出了这样的一个对客观环境的解读：这个客观环境没有错，但你也同样不能说他的解读错了，所以你要认同他在他的视角当中解读这个客观环境的合理性。你不要去否定它，因为你一否定它，相当于你直接把他的系统给它解构了，而且很有可能你们对客观结果从不同的角度来说就争起来了，这个就绝对不是一个沟通，你们没有共识。那我们首先构建的共识是什么？"现在客观环境的确有问题，公司的经营有一些问题，我完全能理解。"所以表达认同，不要去否定观点。
[XP-T-006#P059] 但第二步很关键，叫做提升问题而非给出答案。什么意思？你要往上拉层次：不要跟他在一个维度上探讨问题，要拉升一个层次，逐级地进行高位引领，来满足他的价值认知。老板说："我们现在公司的经营情况不太好，所以涨不了工资。""老板，我认同，经营情况现在的确是个问题，我感同身受。但是老板，你觉得是什么事情导致了我们现在公司的经营出现了问题？"你再问他：是什么行为、是什么事情导致了我们现在公司出现了这样的问题？老板可能说外部经济环境也不太好。你说我明白，这个肯定是一个很重要的因素，但是我觉得我们内部可能也有一些因素导致了现在经营有一些问题，我自己有一些看法，跟您探讨探讨：肯定还是我们在一些管理上、经营上有一些存在的问题，才导致了现在的经营情况——还是要往行为上去拉。他跟你谈客观环境的结果，你跟他谈主观的行为，因为主观的行为导致了客观环境的结果，那老板肯定会认同：老板不会说"我们公司现在经营得特别特别好，什么都很好，但是我们的业绩不好"。老板即便说这个行为大家还是OK的，但的确你说的有道理，我们一些岗位、沟通流程、产品质量上还是需要提升的。好，你再给它升一个维度，讨论什么？能力。能力决定行为。你说："老板，比如产品质量这件事情导致了我们现在经营的一些压力，我觉得可能我们在做产品的这一套能力上，不管是流程还是岗位上的人，还是需要提升的。"我跟你谈能力了，你跟我谈行为；我跟你谈能力，老板说嗯，你说的这个也有道理。再来往上提：他谈能力，你跟他谈价值观、谈观念。"我们的的确确应该有的一个观念，就是不断地去构建产品的核心技能。因为产品好了，口碑就好；口碑好，用户就愿意买；口碑出去了，新用户来了，老用户又复购，我想这个经营基本上也就没有什么太大问题了。"老板说嗯，这个也说得有道理。"但这个也不是说我们马上就能做到的。"你说没问题。老板你要想一个点：其他的老板可能简简单单就说有问题就算了，您肯定是要解决这个问题的，所以在我看来，您是企业家，不是一般的老板——注意，身份在逐级高位引领。什么叫高位引领？你在他原本的这一套话语体系当中，给他一个更高的追求：他讲的是赚钱，你要跟他讲创造价值；他跟你讲"我是老板"，你说"老板，我认为你是企业家"；他说"我这个能力也就这样"，你说"你这个能力实际有一个特别好的潜力还没有发挥出来"；他说"我这个行为我只能做出这样的东西"，你说"其实这个行为改变的空间是很大的，做一个小动作很有可能就改过来"。不断地做高位引领，再说白话一点就叫做"戴高帽子"，你一层一层地把它往上带，带到最后你说"企业家"——那企业家看待问题肯定跟一般老板不太一样了嘛："我们现在经营出现问题是短期的，但是员工、尤其是优秀员工、做产品质量的员工，我们希望他长期为公司创造价值。虽然我作为做产品的员工可以接受短期内不涨薪，但是能不能咱们讨论一个方案？我觉得不仅是为我，也是为了所有做产品的同事们，有这样一套绩效激励制度，让我们好好地努力，把企业的效益提升上来了以后，给我们更多的一部分激励。"你看这样的一个说服过程，不断地进行高位引领，你满足了老板认知价值上的满足。认知价值是什么？老板当然希望他被看待的是企业家，没有老板希望"我就是个挣黑心钱、压迫员工的黑心老板"，没有人愿意这么说、也没有人愿意这么干。所以谈事情往上谈，进行越层沟通：他说"我这个行为就是这个行为"，那肯定有更好的行为，他心里是知道的，只是说"我没这个能力"；你说没关系，我们提升这个能力，安排激励大家去提升这个能力；他说"这个能力怎么提升？可能也提升不了"；我们要先做嘛，做不了我们再说嘛；"哎呀，也不是这样，我没有这样的一些想法"——你是企业家，不是黑心小老板。你一层一层地逐级高位引领，满足他的价值认知的更高层次的感受，你就能改变他的主观认知。
[XP-T-006#P060] 从而，沟通的本质我们再进行进一步的概念推进。之前我们说职场沟通干嘛？叫做达成结果。今天再推进一步：沟通是为了一句话——"那我们一起努力"，有行动，因为行动可以带来结果。所以我如果不能马上有结果，至少我要马上有行动。那你怎么样能够达到跟别人沟通到最后有一句"那我们一起努力"呢？记住这句话：沟通就是打破短期认知限制，给予长期塑造结果以机会。我们要打破他短期的认知限制——就是他认为"客观环境是这样的，所以我主观必须符合客观"；你要告诉他：不是，我们现在主观变一变，未来客观结果会更好，这是真正的沟通高手。我们打破他短期的认知限制，然后给予长期塑造以机会：只要有机会我们就能行动，有行动我们就有可能产生结果。这是沟通的一个非常重要的方法，就是越层沟通、高位引领，你不要在一个问题上跟他争。以后这种沟通不仅是对老板，刚才我举例是老板，平级也能沟通，下属也能沟通："我们现在外部的情况就这样，我们转化率只能做到10%。"你们做了什么？——问行为。"我们做了这些东西。""你觉得做这些事情，如果我们要把它做好，我们需要什么关键能力？"——拉上去。"我们需要这些能力。""这些能力我们要做到，我们必须要有一种决心，或者说我们要有什么样的认知？"——再拉上去。"而我们要具备这样一个认知，你觉得作为员工，你是只希望你现在作为一个员工，还是未来你作为一个管理者，或者是一个顶尖级的专家？"你一层一层地把他拉上去以后，沟通就容易了，而不是在同层上面去讨论问题。因为在同层上面讨论问题一定会带来争执，我们是需要引领的，要做高位引领。
[XP-T-006#P061] 不会谈的人在这个模型当中会往下谈。比如有些人一开口切口切认知，万事归于认知："这个事儿我们做不了？""你这个人认知有问题。"你直接咣当一个帽子给他扣在这儿，然后往下谈，最后会谈崩的："我认知有什么问题？""你就是个没挣过钱的穷货，圈层太差"——是不是你给他身份贴标签了？"你才有这样的观点"——往价值观给他摁上；"然后你才有这样特别low的能力，最后做出这么low的行为，最后导致这个结果"——你觉得别人愿意跟你谈吗？一定不愿意。我们相反，不要去做历史归因。做历史归因是从上往下谈：因为你low，所以你的身份low，所以你的想法low，所以你的能力low，所以你的行为low，所以你现在是个loser。这在做历史归因，历史归因没有用。我们需要什么？未来展望：给我机会，我们大家一起努力吧，我们一起加油吧，我们产生行动、产生行为。那怎么办？往上谈："现在的情况是这样的，是因为我们做出了这个行为，那我们行为改变一下呢？""行为改变不了，没关系，我们先提升我们的能力。""能力现在改变没关系，我们先改变我们的想法。""想法，你是不是觉得以后你会做得更好的？"那我们现在先做个认知升级，而且只要你现在稍微同意一下，我们（的事）马上升级了。我们要从下往上谈，做未来的展望，这才本质解决了什么东西？叫做发展。所以这种沟通的模式希望大家一定要做刻意的练习；有的时候你也可以关注别人是怎么沟通的，看一看我说的高手是不是都是采用高位引领、满足别人的价值认知、一步一步拎上去的。这种沟通的模式，深挖他的主观看法，找到那个切角切进去，不要讨论结果，而是看他背后的那个原因到底是什么。推进到一句话就是：沟通就是打破短期认知限制，给予长期塑造结果以机会。达到一点就是沟通的胜利：我们能不能试一试？我们能不能试一试？我们能不能试一试？这个沟通就好。这就是今天给大家讲解的第六课：如何面对拒绝——我们能不能试一试。第七讲我们要讨论的话题就变成沟通当中的情绪问题：因为之前说情绪需求没有被满足的时候，我们有一套方法论，先检点自己，检点自己没问题了，用于面对他人的情绪管控；那如果情绪需求是被满足的，而价值需求没有被满足（则用本课的方法）。
[XP-T-006#P062] 第七课：沟通中的情绪
[XP-T-006#P063] 上一节课我们谈到的是价值需求：怎么利用一套逐层向高引领的方式来进行沟通，在面对拒绝的时候应该怎么样去深挖这套拒绝的逻辑，然后只要要到一点——我们能一起试一试——我们就达到了阶段性的目的。今天第七个模块要谈的是沟通中的情绪问题。大家经常一沟通的时候就上头，有的吵架，有的生气，有的沮丧、郁闷，有时候背地里扎小人儿，这个情绪问题到底该怎么处理？如果我们回顾最早对于沟通本质的定义，一定要牢记：职场沟通的本质就是为了去达到一个目的、去推动结果和推动结果的达到，这是最关键的一点。所以情绪在这件事情里面，如果有帮助，当然最好；如果没有任何的帮助，我们就应该把情绪撇到一边，这是一个最关键的底层判断原则。在此基础上，我们分类讨论。第一类：一旦我们自己有了情绪，你要干的一件事情就是暂停沟通。我们自己有情绪的时候，就应该立刻暂停沟通。在这儿其实有一点：以前我们都在谈一个人情商高不高，情商高并不等同于说漂亮话，情商高也不仅仅包括我们了解别人的情绪——情商高的第一件事是了解自己的情绪。也就是说，你对自己的情绪是有体察的：你能不能知道你自己现在上头了？这点非常关键。有的时候我们对自己的情绪是没有体察状态的，这要不断地进行练习。而且往往我们不能了解自己的情绪，都跟我们原来成长的背景、原生的家庭、小时候的经历有很多直接的关系，我们要通过不断自我的深挖，才能把这个情商调动和锻炼起来。大家一定要记住：智商不好练，但情商是完全可以练习的。我们要学会去进行和解，就是对自己过去的一些事情的深挖之后的和解，你就慢慢地能够开始观察和了解，最终来控制自己的情绪。自己有情绪的时候，你能体察到了，立刻暂停沟通。但是对很多人来讲，他连自己已经处于情绪之中是没有感觉的，那教大家一个方法。夏老师有的时候情绪管理也会有问题，那么我遇到比较艰难沟通的时候，我很少就两个人去沟通，我一定带一个人，然后我会跟那个人提一个要求：如果你看我上头了，你一定要把我叫住，咱们要立刻暂停。然后我回去复盘，其中很重要的一件事情就是重新去整理自己的情绪：我为什么当时会在那个点上被激发？会有一个情绪扳机被扣动。反复多次这样的练习，才能让自己成为一个成年人。
[XP-T-006#P064] 那么为什么人会有情绪？原因很简单：需求没有被满足。大家想一想，我们沟通的时候——今天已经讲到第七个模块了——我们这套课跟外面讲沟通的课的一个最大的区别在于：我们反复提到沟通这件事情，是你要先满足别人的需求，别人才会满足你的需求。以前很多的沟通课是"我带着我的需求去，我怎么去说服对方"——不对的，你要先满足别人的需求。那么反过来，我满足了别人的需求，但是别人对我的需求我始终没有任何的回应，我肯定会产生情绪。所以你自己给自己心理的情绪做一个锚点——就是那个航船用的锚，anchor——在沟通的过程当中，一旦我出现了情绪，一定是我的某种需求没有得到满足。那好，我先暂停下来，然后重新倒回去，进入到坦诚状态：我到底需不需要这个需求？满足需求，我们自己到底是不是需要？又把沟通三原则拿出来看：第一，我们是不是做到了对自己足够的坦诚？我知道我自己到底要什么、真的需要这个东西、而且最需要这个东西。第二，我有没有站在别人的角度去了解他的需求是什么？第三，我是不是进行了清晰的表达？这个坦诚、利他、清晰的原则始终要坚持。如果你没有办法及时地理清这个东西，没关系，记住两句话作为黄金句子，反复练习、反复背诵：一旦你发现跟别人沟通的时候你的情绪激动了，马上说这样一句话——"抱歉，我可能没有说清楚，让你误解了"，说到这儿就OK了，等他回应，我再想一想，下次找时间再聊，去暂停。OK，主动暂停沟通本身就是一种主动权，就是自己的一种自制力。你没必要把情绪发泄掉，因为情绪发泄掉，你下一次再去重启沟通的时候，你的重启成本是巨大的。所以怎么去做情绪管理，是真正的高手应该去关注的。
[XP-T-006#P065] 怎么去深挖自己的情绪认知？在这里教一套方法，叫ABC原则。它分别指代的是：A指代action，某一种行为；然后你对这个行为会有一个解读，这个解读是建立在你自己的belief，信念的基础之上——你有某个信念，你认为什么是对的、什么是应该的；然后会产生一个C，consequence，产生一个结果。举个例子：老板临下班给了你一个特别急的活儿让你加班，你说"都已经下班了，我为什么还要再加活，而且这么多天连续都是这样的"，非常生气，跟老板顶撞了。整个这个事件我们来分解一下：行为是什么？老板让你加班。结果是什么？你怒了。中间的信念是什么？"怎么总让我加班？"再深挖：不公平。再深挖：不职业。再深挖：干扰到了我的生活。都有可能。那好，我想请问一点：到底是老板让你加班的行为让你感到愤怒，还是你对这件事情的解读让你感到愤怒？其实你会发现，不是老板的行为，而是你对这个问题的信念产生了这个结果。所以如果我们能控制自己的情绪，我们并不是控制外在别人的行为，相反，我们要深挖自己的一套信念体系，有哪些信念体系是需要被修正的。比如说"老板总让我加班"这件事情不对，那就是不对而已，未必需要愤怒。我可以跟老板说："老板，我最近一直在加班，而且每次可能临到下班的时候工作再来。我想明天有时间的话，我跟其他的同事坐在一起沟通一下我们的日程，因为的的确确这么加下去，我觉得我自己也好、同事们也好，我们的工作状态和工作结果都是会受到影响的，您看行不行？"注意，你是针对他的行为在说话，你没有带着你自己的信念在说话，你是对结果产生了一个新一轮次的影响：你有一个新结果了，这个结果是受到"我要理性沟通"的信念加持的，它就会带来一个完全不一样的结果。如果这个结果是a，这个结果就是一个b，那显然b比a要成熟太多。所以这就叫做ABC原则，关键是我们要不断地去想这个B：只要我们能把B阻断，我们就不会产生那些让我们觉得很后悔的、释放情绪之后的结果了。反复练习。很多时候（有人问）反复练习会不会变得非常的内耗内伤？不会，你会学会更加的和解与平和。而我们要练习的就是通过这样的方式，还是我们讲的善意的博弈论：我们释放善意，但我们重复别人上一次的博弈策略；我们做到坦诚、利他和清晰。如果老板还是这样，那我们可能有其他的一些对策。所以自己的情绪管控，在这里给大家讲了ABC原则：一定要学会主动地体察自己的情绪，在自己的情绪要炸的边缘暂停沟通，因为你要了解你有这样的情绪，是你某种需求没有被满足，所以我们要重新整理需求。
[XP-T-006#P066] 自己这个方面讲完之后，我们来看一看对方有情绪的时候我们应该怎么应对。第一点就是一定不能被对方的情绪带着走：他愤怒你就要跟他愤怒？他指责你，你反向指责他？到最后会出现的情况就是狗咬狗一嘴毛——这个话说得不太好听，但结果就在于谁到底先动手的是说不清楚的。你看经常街上打架，两个人最后都被带到派出所，警察问谁先动的手，互相只能说他先动的手；警察说有没有证据、有没有监控？发现没有，好，这两个人都叫扰乱社会治安，各关五天，多亏呢。你要干的一件事情是：如果他先动手，你就立刻躺倒，你千万别还手，因为这样才能指清楚谁到底是那个折腾的人。所以对方有情绪的时候请你一定要保持克制，因为你跟他对着干了之后说不清楚到底怎么回事儿。即便你当时有情绪、你想收拾他，请你克制，因为如果你当时动手了，反而你收拾不了他。所以对方有情绪的时候，我们记住自己不能被带节奏，这是第一点。那我们积极去处理的时候应该怎么处理呢？首先，认同他的情绪——你不一定要认同他的观点，你可以认同他的情绪。怎么认同？一个策略叫表达出来，用镜子法。比如他说"怎么能这样？"——的确哈，怎么能这样？你就重复他的话就行了：你不要认同他，你也不要否定他，你就重复他那句话。"怎么能这样？"你说"对，怎么能这样？"你就像镜子一样把他说的东西展现出来就好，这样的话他就可以降温，他就会觉得你和他是一致的。情绪本质上就是要去找共鸣，它不需要别的，但是你千万不要跟它对撞，你让它释放出来，人都会回归理性的。那为什么我们要用这套策略呢？因为有些人只会用单一的情绪来掩盖他的多样情绪：他有可能很着急，但是表现出来的是愤怒；有可能非常失望，表现出来的是很愤怒；有可能是一种对于这件事情的简单的观点，但他只会负面的抱怨。有些人因为他的成长经历、原生家庭，只会用单一情绪掩盖多样情绪。所以你要做的一件事情就是：他愤怒，你说"你挺愤怒吧？""对呀，我当时非常愤怒。""哎呀，你说这愤怒为什么呢？我特别想知道这个原因。""就是这个事儿我们讲了说今天要做完，但是到今天又没做完，所以是一种交集。"你不断地帮他把这个情绪理在一个清晰的点位上，你像一个镜子一样反射所有的东西，但你自己没有情绪。如果你能做到这一点，注意：对方讲的所有的东西其实都是我们的信息，我们需要对这个信息进行解码，解码变成需求。所以他有情绪的时候，我们要去看他背后的需求是什么；同时有的时候我们自己也可以去想：我有情绪的时候，我背后是有什么需求没被满足？
[XP-T-006#P067] 愤怒的背后是缺乏尊重，他想要尊重。"怎么能这样？"其实他背后想说的是"你们怎么能对我这样？我也好歹是个什么什么样的人""公平在哪里？你们是不是瞧不起我？你们是不是欺负我？"他渴望得到的是尊重、公平、认可。那你怎么办？很简单，满足他的情绪诉求。"怎么能这样？""对，是啊，怎么能这样啊？您也是我们的老员工了，他们怎么能就把这个事儿这么说呢？""你怎么能对我这样？""哎呦，您误解了，您这么资深的一个员工，我怎么样都不能这样。"你先认可他，先尊重他，认可他的身份、认可他的能力。还有一些人是焦虑："哎呀怎么办怎么办"——他是缺乏安全感。你要告诉他没关系，这个事儿不会有事儿的，我来处理就好了，不用焦虑，你先做这件事儿，有什么事儿我来兜着。当你能给他安全感的时候，相反他也一定会给你认同，他也会来满足你的需求。所以焦虑的背后是缺乏安全感。抑郁的背后是什么？是后悔，是对于过去没有办法弥补。那你怎么办？你告诉他未来没问题的，因为所有的事情都在改善：你看A也在改善，B也在改善，C也在改善，我们一起努力，不会差的。冷漠的背后是失望："没什么情绪，无所谓"，它是一种失望，那你就要给他以希望：你要告诉他，他努力干这件事情一定会有不一样的结果。所以冷漠的背后是失望。你要知道情绪背后它缺的是啥，你就给他啥；而且如果你能现场给，你就满足了他的需求，他满足你的需求，水到渠成的事情。但这些是需要你反复练习的。一定记住一点：别被带节奏。他怎么样，你跟他情绪一样了，完了。大家说这不是共情吗？No no no，这绝对不是共情，这叫情绪的相互激荡和放大。你要做的一件事情是像一个镜子一样，把这些所有的事情反映出来就好了。
[XP-T-006#P068] 当然记住一点：你以上的努力都无效时，暂停沟通，因为这件事情暂时是无解的：有情绪，等情绪平复了我们再来做沟通。情绪在的时候不要沟通，但是采用一个方法，叫做积极的方式来停止。如果是对方的情绪，用积极的方式：吵了半天，你说"这样，今天我非常欣慰的一件事情，是你把之前积压的所有的看法都充分地表达出来了，代表你对我是足够信任的。我回去也想一想，你回去也想一想，看看我们后续做什么样的方法，把你想的这些东西都落实到、给做好。我非常感谢你能够这么诚恳地把这些问题都讲出来。"以积极的话语停止，画句号就好了，之后再去寻找第二次、第三次沟通的机会。但是不要用情绪对抗情绪，不要用你的解释去堵塞他的情绪，没有用。你要么满足他情绪背后的没有满足的需求；多次满足都不行的时候，暂停沟通，但是用积极的方式来停止。这就是应对情绪在沟通当中的一些问题。我们本着就是让它释放出来，撇到一边去，然后来做事儿。OK，这就是我们讲的第七个部分。第八个部分我们将进入非常具体的场景，比如跟领导怎么沟通，我们下期见。
[XP-T-006#P069] 第八课：和领导怎么沟通
[XP-T-006#P070] 夏老师一方面被领导过、被很大的领导领导过，另外一方面也当过领导，所以讲对领导的沟通，两个方面我都会考虑到：一个是做员工的感受，一个是给你一个老板和领导的视角，你该怎么沟通效率会更高。第一点还是要想明白一句话：沟通的本质是你明白他的需求，他明白你的需求，你实现了他的需求、他实现了你的需求，才产生的结果。所以第一点叫做以各种方式了解领导的需求。大家一定记住：你跟领导不仅是在沟通汇报你的工作进程，你的工作进程汇报本质也是领导的一个需求——他想知道你干了些什么、干得怎么样。归根到底，抓住领导的需求、满足他。很多人都说"我就不想当马屁精"——没有让你当马屁精，满足领导的需求是我们作为下属这个职位存在的责任之一，不是说满足需求就是拍马屁，千万不要有这种误解。当然你说会不会有人是马屁精，抓住了领导各种各样的需求，通过满足领导的需求自己飞黄腾达？有没有坏人有，但是你不能因为他满足领导的需求就说他坏——可能是这个人本身就是坏人，但是他满足领导需求这件事情是正常的。这里列的是大量被大家忽略的情况：总觉得跟领导一对一面谈的时候才能了解领导需求，不是这样的。会议讲话：大会小会领导不是随随便便讲话的。当然会不会出现一种情况，你的领导经常开那种没用的会？也有，但是你也要大浪淘沙，从他的会议讲话里面的信息解码出他的需求；甚至他大量的讲话本身就是一种需求的表现——他需要什么？他需要一种掌控感、一种认同感，一定是他对这家公司的掌控感不足，他在天天开会。那你就给他掌控感嘛：及时跟他汇报工作的进程，也号召大家同事集中汇报，大量汇报给他扔上去，你看他会不会经常拉你们开会了。他可能开会的点就在于"你们不要动不动给我发那么多邮件了"。绩效面谈：绩效面谈经常被大家忽略，大家总是在乎绩效面谈的结果，到底是A还是B、今年是拿13薪还是15薪还是被开掉。不要在乎绩效面谈的结果，关键是在绩效面谈当中，是领导最容易暴露他的需求的地方：哪些地方他给你打高分了，代表你需求抓得准、做得好；哪些地方他给你打低分了，代表什么？不是你没做好，是你没抓住他的需求。我告诉大家，需求只要抓住了，基本上没有所谓做不好的情况——你做不好，你可以找人来做，那就变成了"找人是我的需求，领导你能不能满足？我听懂了但我做不了，我找人能帮你做这件事情，你接不接受？"当然遇到不讲理的领导说我不接受，那你也没办法，这家公司该不该待你就画一个问号了。然后记住，任何一次的工作沟通都是抓领导需求的地方：不要总是基于"领导让我干什么事儿"，不要总是基于这是什么指令——领导跟你的任何一次沟通，传递的是信息，而信息你要把它解码成需求，这件事情太重要了。
